Item,Category,Description,Price_USD
Green Goddess Bowl,Warm Grain Bowl,"Brown rice, avocado, kale, broccoli, ginger nama shoyu",15.15
Spicy Peanut Noodles,Noodles,"Rice noodles, peanut sauce, veggies",15.26
Sesame Garlic Bibimbap,Warm Grain Bowl,"Brown rice, mushrooms, kale, sesame garlic sauce",16.1
Buddha Bowl,Warm Grain Bowl,"Brown rice, tofu, vegetables, sesame ginger sauce",15.48
Teriyaki Tofu,Handheld,"Grilled tofu, teriyaki glaze, veggies in wrap",15.48
Super Berry Açaí,Açaí Bowl,"Açaí, berries, banana, granola",14.71
Super Greens,Smoothie,"Kale, spinach, avocado, apple juice, lemon",10.93
Avocado Chocolate Mousse,Dessert,Vegan avocado chocolate mousse cup,6.5
Vanilla Honey Oat Cold Brew,Signature Drink,"Cold brew coffee, oat milk, vanilla, honey",5.75
Wellness Ginger Shot,Wellness Shot,"Fresh ginger, lemon, cayenne",4.0
